id,en_name,zh_name,summary,related,
24,Shadow Gambit: The Cursed Crew,影子诡局：被诅咒的海盗,,https://www.douban.com/group/topic/327660058/?_spm_id=MjYzNDQ5MTI4&_i=16199612WOdhIi,
25,Nine Sols,九日,,https://www.douban.com/group/topic/326188184/?_spm_id=Mjg4NzkzMDIz&_i=16192282WOdhIi,
26,ペルソナ3 ポータブル,女神异闻录3 携带版,,https://www.douban.com/group/topic/328788169/?_spm_id=MjgzMzYyMzIy&_i=16217552WOdhIi,
27,ペルソナ4 ザ·ゴールデン,女神异闻录4 黄金版,,https://www.douban.com/group/topic/327382092/?_spm_id=MTYzMDAxMTMy&_i=16214912WOdhIi,
28,Hades II,哈迪斯2,,https://www.douban.com/group/topic/328400299/?_spm_id=OTc1NjM5NTQ&_i=16216322WOdhIi,
29,Potion Craft: Alchemist Simulator,药剂工艺：炼金模拟器,,https://www.douban.com/group/topic/327694900/?_spm_id=MTg0ODA5NzQ3&_i=16225782WOdhIi,
,,,,,
31,to the moon,去月球,,https://www.douban.com/group/topic/327185371/?_spm_id=MTQyMzI3MDc4&_i=16225542WOdhIi,
32,Tiny Pasture,动物栏：桌面牧场,,https://www.douban.com/group/topic/326395709/?_spm_id=MjYzNDQ5MTI4&_i=16230092WOdhIi,
33,キミガシネ　―多数決デスゲーム―,你去死吧——多数表决死亡游戏,,https://www.douban.com/group/topic/351805840,
34,Desk Paws,桌宠屋,,https://www.douban.com/group/topic/329054978/?_spm_id=MTc2Njk2Mjc2&_i=16234232WOdhIi,
35,A Building Full of Cats 2,一栋满是猫的楼2,,https://www.douban.com/group/topic/329013555/?_spm_id=Mjg5MDYzNjk5&_i=16218942WOdhIi,
36,逆転裁判,逆转裁判系列,,https://www.douban.com/group/topic/328791452/?_spm_id=Mjg3NzA4NTg2&_i=16242862WOdhIi,
37,パラノマサイト FILE23 本所七不思議,灵视异闻 FILE23 本所七大不可思议,,https://www.douban.com/group/topic/326429218/?_spm_id=MTg2MTM2MTgz&_i=16192682WOdhIi,
38,Beyond: Two Souls,超凡双生,,https://www.douban.com/group/topic/313999810/?_spm_id=MjgzMzYyMzIy&_i=16209282WOdhIi,
39,A Way Out,逃出生天,,https://www.douban.com/group/topic/326258388/?_spm_id=MTU4NzQxNzEz&_i=16178782WOdhIi,
40,Road96 Mile0,九十六号0英里,,https://www.douban.com/group/topic/326433055/?_spm_id=MjgzMzYyMzIy&_i=16181562WOdhIi,
41,Carto,无尽旅图,,https://www.douban.com/group/topic/327939728/?_spm_id=MTk2NzU1Njg4&_i=16227852WOdhIi,
42,Buy a Croquette!,买个可乐饼吧！,,https://www.douban.com/group/topic/326748241/?_spm_id=MTkxMjU2MjMz&_i=16175412WOdhIi,
43,Staffer Case,异能缉凶,,https://www.douban.com/group/topic/326490776/?_spm_id=MTkxMjU2MjMz&_i=16184972WOdhIi,
44,The Excavation of Hob's Barrow,霍布古墓发掘记,,https://www.douban.com/group/topic/326327525/?_spm_id=MjgzMzYyMzIy&_i=16185832WOdhIi,
45,Spiritfarer,灵魂摆渡人,,https://www.douban.com/group/topic/330327063/?_spm_id=MTY1ODM4NTYz&_i=17271192WOdhIi,
46,Cyberpunk 2077,赛博朋克 2077,,https://www.douban.com/group/topic/330362810/?_spm_id=MjI2OTU0MDk4&_i=17770222WOdhIi,https://www.douban.com/doubanapp/dispatch?uri=%2Fgroup%2Ftopic%2F334844689%3F_spm_id%3DMTUzNjg1MDE4&_i=560517973d68755&dt_dapp=1
47,Love You to Bits,,,https://www.douban.com/group/topic/330464658/?_spm_id=NDYzNDI1Njg&_i=18919942WOdhIi,
48,Emily is Away <3,,,https://www.douban.com/group/topic/326822133/?_spm_id=MjQ1MTkzNTM0&_i=16187342WOdhIi,
49,Open Roads,,,https://www.douban.com/group/topic/326843316/?_spm_id=MjQ5NTM2Mjgz&_i=16187942WOdhIi,
50,Alchemy and Weldcraft,炼丹与电焊,,https://www.douban.com/group/topic/326945593/?_spm_id=MTIyNTk3MDg5&_i=16191852WOdhIi,
51,Asterigos: Curse of the Stars,失落迷城群星的诅咒,,https://www.douban.com/group/topic/326317160/?_spm_id=MjgzMzYyMzIy&_i=16193832WOdhIi,
52,Let's School,学院构想家,,https://www.douban.com/group/topic/326275418/?_spm_id=MTU4NzQxNzEz&_i=16194312WOdhIi,
53,Yolk Heroes: A Long Tamago,勇者蛋生,,https://www.douban.com/group/topic/326695150/?_spm_id=Mjg4NzkzMDIz&_i=16197762WOdhIi,
54,文字遊戲,文字游戏,,https://www.douban.com/group/topic/326604649/?_spm_id=Mjg4NzkzMDIz&_i=16198332WOdhIi,
55,Phoenotopia Awakening,不死鸟传说：觉醒,,https://www.douban.com/group/topic/327654768/?_spm_id=MTc2Njc5Njc0&_i=16201262WOdhIi,
56,The Oregon Trail,俄勒冈之旅,,https://www.douban.com/group/topic/326178782/?_spm_id=NDYzNDI1Njg&_i=16202592WOdhIi,
57,Sin and Love,长安：石之舞,,https://www.douban.com/group/topic/326949744/?_spm_id=MTcyMjQ5Nzkx&_i=16203132WOdhIi,
58,Insects Awaken,谍：惊蛰,,https://www.douban.com/group/topic/327721616/?_spm_id=MjU5OTY4NDk3&_i=16203532WOdhIi,
59,Hauma,豪麻,,https://www.douban.com/group/topic/314173092/?_spm_id=MjgzMzYyMzIy,
60,GreedFall,贪婪之秋,,"https://www.douban.com/group/topic/327751901/?_spm_id=MjgzMzYyMzIy&_i=16207182WOdhIi,16208902WOdhIi",
61,Tales of Berseria,狂战传说,,"https://www.douban.com/group/topic/327751901/?_spm_id=MjgzMzYyMzIy&_i=16207182WOdhIi,16208902WOdhIi",
62,Ashwood Valley,,,https://www.douban.com/group/topic/327980976/?_spm_id=MTI3MjMxNDk0&_i=16204772WOdhIi,
63,Röki,洛基：北欧怪奇之旅,,"https://www.douban.com/group/topic/327751901/?_spm_id=MjgzMzYyMzIy&_i=16207182WOdhIi,16208902WOdhIi",
64,beat slayer,节奏战士,,"https://www.douban.com/group/topic/327751901/?_spm_id=MjgzMzYyMzIy&_i=16207182WOdhIi,16208902WOdhIi",
65,SCARLET NEXUS,绯色结系,,"https://www.douban.com/group/topic/327751901/?_spm_id=MjgzMzYyMzIy&_i=16207182WOdhIi,16208902WOdhIi",
66,Oxenfree,奥森弗里,,https://www.douban.com/group/topic/313974393/?_spm_id=MjgzMzYyMzIy&_i=16213322WOdhIi,
67,Bloomtown: A Different Story,布卢姆敦：一个不同的故事,,https://www.douban.com/group/topic/326218602/?_spm_id=MTcyMjQ5Nzkx&_i=16215902WOdhIi,
68,lost in random,迷失混沌王国：永恒之骰,,https://www.douban.com/group/topic/328527835/?_spm_id=MjgzMzYyMzIy&_i=16217082WOdhIi,
69,Tainted Grail: the Fall of Avalon,污痕圣杯：阿瓦隆的陨落,,https://www.douban.com/group/topic/329044568/?_spm_id=MjAxNzU3MzQx&_i=16219742WOdhIi,
70,ENDER MAGNOLIA: Bloom in the Mist,终焉之玛格诺里亚,,https://www.douban.com/group/topic/329006013/?_spm_id=MTc2Njc5Njc0&_i=16221982WOdhIi,
71,Pillars of Eternity,永恒之柱,,https://www.douban.com/group/topic/327296583/?_spm_id=MjAxNzU3MzQx&_i=16223462WOdhIi,
72,Darkest Dungeon,暗黑地牢,,https://www.douban.com/group/topic/326766180/?_spm_id=MjQ3NzcxMjQz&_i=16225182WOdhIi,
73,Sailing Era,风帆纪元,,https://www.douban.com/group/topic/328840940/?_spm_id=MTQ5MTg4MTkz&_i=16232172WOdhIi,
,,,,,
75,,我和未来有个约定,,https://www.douban.com/group/topic/329453470/?_spm_id=Mjg4NDY3MDE0&_i=16239802WOdhIi,
76,wylde flowers,怀尔德之花,,https://www.douban.com/group/topic/328905307/?_spm_id=MjQwNjI2MzU2&_i=16240502WOdhIi,
77,Untitled Goose Game,鹅作剧,,https://www.douban.com/group/topic/328262681/?_spm_id=Mjg4MDAwMzky&_i=16243732WOdhIi,
78,Thank Goodness You're Here!,谢天谢地你在这里！,,https://www.douban.com/group/topic/328262681/?_spm_id=Mjg4MDAwMzky&_i=16243732WOdhIi,
79,Lost in Play,迷失游戏,,https://www.douban.com/group/topic/328262681/?_spm_id=Mjg4MDAwMzky&_i=16243732WOdhIi,
80,AER Memories of Old,AER古老的回忆,,https://www.douban.com/group/topic/330187880/?_spm_id=Mjc0NjM1NzUz&_i=16246202WOdhIi,
81,The Excavation of Hob's Barrow,霍布古墓发掘记,句句不离爹,,
82,venba,薇妮巴一家,被老公pua生病还要做饭,,
83,If Found...,如寻获……,mtf,,
84,Dordogne,田园记,双男工作室，野生小男孩抢剧情高光，预告片男主创提到是拿自己童年经历改变的故事,,
85,Tchia,奇娅,救了弟弟后被抢王位,,
86,2024.11-2025.04 所有月包内key的简单排雷（主要标注了一些男主游戏）,明确雷点的key已转移至下方，帖子里有一些其它key的游戏种类信息，有兴趣可以查看,https://www.douban.com/group/topic/326816957/,,
87,The Lamplighters League,燃灯者联盟,弱役女穿男凝衣服，女男比大概是五五开，有they。魔女组打分贴-10,,
88,Cassette Beasts,磁带妖怪,"dlc让女性角色暴露服装，吐舌头疑似性暗示
",,
89,Bomb Rush Cyberfunk,放克小子,开头必须操控男的，女性可控角色穿着很暴露,,
90,Monster Prom 3: Monster Roadtrip,魔武学院3,约会模拟器，ygbt，该系列有mtf（不确定是不是本作,,
91,Moonstone Island ,月光石岛,ygbt，有长胡子的角色自称they，具体可见trans避雷合集,,
92,The Invincible,无敌号,"第一人称，太空，外星文明，女性mc，但魔女组打分贴得分不高
",,
93,Blasphemous,神之亵渎,"男主游戏，有很多女性露出乳房的立绘，有种小兵疑似是女性，死亡动画乳房会晃动，涉及很多宗教元素，有女性自残描述
",,
94,Beneath Oresa,奥雷萨之下,"封面女性睾丸胸
",,
95,Fort Solis,索利斯堡,男主游戏,,
97,immortals of Aveum,不朽者传奇,"男主游戏
",,
98,Trepang2,海参2,"男主游戏fps，官方回复主角性别不可选，默认为He。在社区里问能不能自选性别的玩家被男玩家群起攻之发小丑贴纸，充斥类似“不是tps不能看主角的皮鼓，设计成女性有什么意义”的发言
",,
99,pacific drive,超自然车旅,"第一人称开车模拟器，主角全程不说话不透露性别
",,
100,gravity circuit,重力回路,"男主游戏（fandom上的代词是he）
",,
101,racine,根,"男主，demo里npc对主角的称呼是he,""he who bears the power....""
",,
102,cavern of dreams,梦之洞穴,"男主游戏，主角是男龙fynn
",,
103,Tales of Kenzera™: ZAU,肯泽拉传说：扎乌,"男主游戏
",,
104,Diplomacy is Not an Option,要战便战,"疑似操控男王，npc男的多，中世纪战略游戏
",,
105,Nomad Survival,游牧生存 ,像素肉鸽，有多个可控角色，性别无法确认但有些角色有胡子，疑似男角色居多,,
106,Terra Memoria,泰拉往事,"像素风回合制rpg，可控角色应该是宣传图上的三女三男，但女男体型差巨大，且demo里的新手教程中强制玩家操控男角色
",,
107,Dredge,鱼帆暗涌,"男主游戏，epic送过
",,
108,Universe for sale,出售宇宙,女主是男主女儿，安排她不明真相亲了男主，有cg特写,,
109,Behind the Frame: The Finest Scenery,倾听画语,故事本质是男的在怀念白月光,,
110,Roki,洛基 北欧怪奇之旅,父亲酗酒不管事，女主独自带吵闹弟弟，全篇救弟毫无怨言,,
111,Black book,黑书,背景介绍照搬厌女俄罗斯民俗,,
112,Murder by Numbers,数字谋杀案,全男制作组，剧情里女主被亲妈逼着和前夫和好，亲妈追男星,,
113,Jusant,退潮,男主游戏,,
114,Tales of the Neon Sea,迷雾侦探,男主游戏、逛红灯区、刻板且暴露的女性立绘、男主家中的色情海报、给女机器人穿女仆装、化眼影的雌猫、黄色笑话……太多了,,
115,Feed the cups,杯杯倒满,,,
116,Heartbeat,心跳,给像素小人画乳沟,为什么这么多像素游戏都爱画乳沟，统统枪毙！,
117,Stardew valley,星露谷物语,狂封盟友差评，害得比格一个月都不能联系客服。,和密教模拟器坐一桌，俩男制作人心眼比马眼还小。,
118,Baldur's Gate 3,博德之门3,"厌女的世界观、内含大量男同，公畜数量超标，连狗都是公的。
用“大胸”图片做宣传，详见附图。",拉瑞安做的神界原罪系列也非常恶臭，该工作室的领导就是个老头，烂完了。,
119,Wingspan,展翅翱翔,"https://www.douban.com/group/topic/330172389/
鸟的描述中出现众多男学者",救命……看组内友友在玩，刚买了,
120,Dragon Age: Origins,龙腾世纪：起源,"整体世界观厌女，包含大量虐女恶臭剧情，要靠女队友和男人性交生孩子达成全员存活HE结局。细节处见真章：探索某个贵族府邸路过厨房时，可以看见一个女精灵在给人类田力blowjob
————
补充楼上：服装非常男凝，人类贵族开局的话，在开头可以和一个女性精灵侍者调情，勾引对方上床，如果成功了这个侍者会在当晚光着身子死去。主角的妈妈可以活下去但是非要给爹殉情",恨比爱长久，滚！,
121,Dragon Age 2: Ultimate Edition,龙腾世纪2,可选性别是生软的谎言！虽然宣传片+封面都是丑男主，但在游戏内生软还是贴心地为女主设计了有别于男主的性感走姿哦~,恨比爱长久，滚！,
122,Dragon Age Inquisition,龙腾世纪：审判,男队友们丑得奇形怪状个个压抑愤怒苦，最后来整了出有苦衷的大爹剧情，招笑,恨比爱长久，滚！这部游戏性也是屎！,
123,Bugsnax,虫子快餐店,绿色男咕噜包对人称代词为“she”的女咕噜包大喊bro，还隐隐有在卖男同,,
124,Methods: The Canada Files,探案法: 加拿大档案,永不言败的拉里卡就这么被安排输给了同队从来不干事只在最后关头清醒了一会的男侦探泰兹屈居第二，最后还需要泰兹“自愿又大度”地把名额让给拉里卡她才能进最后一关,把第一名还给拉里卡……,
125,The mildew children,霉童村,剧情虐女，第一章献祭了一位女性，未知原因死了一个女巫，女主说自己比不上哥哥，后面没玩待补充,警惕俄罗斯ppt,
126,monster  prom,魔物学园,性缘至上的约会模拟器，道具有用过的棉条,,
127,Death Stranding,死亡搁浅,泄殖搁浅封我差评,我愿称之为“马桶模拟器”,
128,beholder,旁观者,糟糕的人物设计还想上价值，又是那套老登文学,试图说教的门卫模拟器,
129,heavy rain,暴雨,封我差评（原标题：嗲男文学和无聊齐飞，男凝共老登一色）男主之一和女主（都可操控）有sex场景，连sex都要打QTE，女方纯倒贴老白男,,
130,Assassin's Creed Odyssey,刺客信条：奥德赛,24h内封我差评,"本体：马可斯这头公狗动不动挟恩差使卡姐干活，死不了；死gay艾滋白男闝昌＋让卡姐送橄榄油和jb，最后还和女的结昏了，死不了；杀养父被村里人指责；密里涅身形瘦小，认为小卡姐死而小男宝没死，只找男宝；福柏小女孩被写死了
袖箭dlc：强制让卡姐接男宝
亚特兰dlc：美杜莎被写死（女同故事），黑帝斯的看门人都是男的，波塞冬只有男宝，很容易让大男宝的情人死亡
现代：维多利亚被写死",
131,It takes two,双人成行,封我22年差评,双人成行也能有孝男吗,
132,"Warhammer 40,000: Rogue Trader",战锤40k：行商浪人,从小兵到重要人物含男量超高；男队友爹爹不休。可以和其中一个男队友玩sm,,
133,Pathfinder: Wrath of the Righteous,开拓者：正义之怒,立绘男凝；男队友闝虫；剧情虐女（银龙特伦迪力福在第一章被斩首、在第五章复活需要再杀一次）；含男量超标（天使道途、巫妖道途、金龙道途、诡术道途、魔鬼道途、虫群道途，6/10道途接引人是男）；第四章有伎院；队友科米莉亚设定是直女，她的台词：“我喜欢男人在我里面的感觉。”；在剧情主线穿插女的和臭胡子老头拉拉扯扯的剧情,"为什么crpg都要加个伎院????此游超过十块就不值得，而且还要花大量心力去打，一周目需要100➕小时。
差评发出一天就被封了????",
134,Age of Empires 2,帝国时代2,女角色基本上都穿裙子，士兵默认为男性，男npc很多。制作组里疑似全男,,
135,Octopath Traveler,八方旅人1、2/歧路旅人,致死含男量，每个可控制女角色都要有属于她的痿大父亲，小动物都是公的，设定是屌神击败邪恶女神，并且有令人不适的剧情，舞女身份男管理职场xsr，盗贼身份女性要装伎女进行任务，并且开局服装也很暴露，而男性盗贼确是包裹严实装扮，制作组很明显的区别对待，这还能玩下去就祝你吃????愉快！,日本游戏通通枪毙！,
136,House Flipper,房产达人,强壮的男人成就/一堆男头像成就,,
137,norco,诺科,看男人撒尿成就,,
138,assassin creed ：odyssey,刺客信条奥德赛,一个成就名叫：阿xxx（古希腊的爱与美之女神）的怀抱（与其她角色共度一夜）,,
139,TOEM: A Photo Adventure,时间：摄影冒险,全男图片成就,,
140,,无限暖暖,捡丝袜道具的地方，在一个地图上看是一个屌的形状,,
141,stardew valley,星露谷物语,"软饭谷有结婚并养育两娃的成就
",,
142,Sid Meier’s Civilization® VI,文明六,武则天的成就是：母亲节快乐，把女人和母职绑定,,
143,crusadur kings,十字军之王III,成就：至死不渝（与另一位角色结昏的成就）/兄弟连/皇帝的新装（一个裸男）/勾引十人/近亲繁育,,
144,There Is No Game: Wrong Dimension,这里没有游戏：错误的维度 ,成就：你不觉得丢脸吗（找到不雅照片）,,
145,Far Away,海沙风云,成就：草莓香味（钻女性裙底）,,
146,Spiritfarer® Farewell版,灵魂摆渡人,成就：守口如瓶（帮出轨男撒谎）,,
147,7 days to die,七日杀,技能点名称含男量过高：匕首男孩/福尔摩斯等,,
148,Dinkum,金垦小镇,男作者独立游戏，蝴蝶描述里有bro“nice bug ，bro”,,
149,Anna’s quest ,安娜的冒险,女主游戏里有男性相关成就,,
150,1 to 1 humanoid edible toys,1：1人形食玩,据说作者是一对女同情侣，但在微博对同人图夸自己游戏里的男角色曲线火辣，疑似凝男派.游戏有一条女同线两条男性恋线,,
151,Cultist Simulator＆BOOK OF HOURS,密教模拟器＆司辰之书,制作人xsr女员工,https://www.douban.com/group/topic/327929673/?_spm_id=MTg4Njc0MjM1&_i=16241192WOdhIi,
152,Stardew Valley,星露谷物语,软饭男做的软饭谷,https://www.douban.com/group/topic/330199741/?_spm_id=MTg4Njc0MjM1&_i=16244532WOdhIi,
153,Desk Paws,桌宠屋,制作人带头开黄腔,https://www.douban.com/group/topic/329054978/?_spm_id=MTc2Njk2Mjc2&_i=16234232WOdhIi,
154,ファンタジーライフｉ グルグルの竜と時をぬすむ少女,幻想生活ｉ 转圈圈的龙和偷取时间的少女,子供向软色情,https://www.douban.com/group/topic/326816753/?_spm_id=MjMwMzAwNDE5&_i=16233992WOdhIi,
155,Rusty Lake,锈湖全系列,冰箱里的女人,https://www.douban.com/group/topic/326883481/?_spm_id=Mjg4NzkzMDIz&_i=16232452WOdhIi,
156,Tiny Pasture,动物栏：桌面牧场,联名苏丹的游戏,https://www.douban.com/group/topic/326395709/?_spm_id=MjYzNDQ5MTI4&_i=16230092WOdhIi,
157,The Elder Scrolls IV: Oblivion,上古卷轴4：湮灭,你是老登,https://www.douban.com/group/topic/327323677/?_spm_id=MjI2MDMyMDIz&_i=16222512WOdhIi,
158,Yolk Heroes: A Long Tamago,勇者蛋生,厂商捂嘴,https://www.douban.com/group/topic/326695150/?_spm_id=Mjg4NzkzMDIz&_i=16197762WOdhIi,
159,Ori and the Will of the Wisps＆Ori and the Blind Fo,奥日与萤火意志＆奥日与黑暗森林,主角是男性,https://www.douban.com/group/topic/326963971/?_spm_id=Mjg3NzA4NTg2&_i=16228782WOdhIi,
160,Hollow Knight,空洞骑士,主角是男性，有男同,https://www.douban.com/group/topic/326963971/?_spm_id=Mjg3NzA4NTg2&_i=16228782WOdhIi,
161,Astro Bot,宇宙机器人,男机器人,https://www.douban.com/group/topic/326964268/?_spm_id=MjQ1MTkzNTM0&_i=16196772WOdhIi,
162,Tainted Grail: the Fall of Avalon,污痕圣杯：阿瓦隆的陨落,恶心台词,https://www.douban.com/group/topic/329044568/?_spm_id=MjAxNzU3MzQx&_i=16219742WOdhIi,
163,Pillars of Eternity,永恒之柱,恶心剧本,https://www.douban.com/group/topic/327296583/?_spm_id=MjAxNzU3MzQx&_i=16223462WOdhIi,
164,Danchi Days,团地日和,把老年痴呆当噱头，虚伪而肤浅的’’人文关怀’’,https://steamcommunity.com/profiles/76561198840411815/recommended/3312850?snr=1_5_9__402,
165,,我和未来有个约定,恋童癖游戏不必多说，看到点点举报,https://www.douban.com/group/topic/329453470/?_spm_id=Mjg4NDY3MDE0&_i=16239802WOdhIi,
166,Chants of Sennaar,巴别塔圣歌,天下大同但是男同的同(把“同伴”翻译成“兄弟”，已知简中/英/德),,
167,Feed the Cups,杯杯倒满,制作人“硬核”照顾女玩家降低游戏难度,,
168,Coffee Talk ,咖啡心语,锁男主爹味十足,,
169,Sun Haven,太阳避难所,立绘男凝,,
170,Cornucopia®,,立绘男凝,,
171,Fields of Mistria,米斯特里亚牧场,立绘男凝,,
172,Everholm,永恒岛梦旅,官方玩黑猴,,
173,428 封鎖された渋谷で,428：被封锁的涩谷,愤怒压抑苦,,
174,Kathy Rain,凯西·瑞恩 ,压不住棺材板的幽灵爷爷,,
175,goodbye valcano high,再见火山高中,画女硬说无性别,,
176,14 Minesweeper Variants,14种扫雷变体,制作人b站玩烂梗,,
177,Shadow of the Colossus,旺达与巨像,等待拯救的白裙少女,,
178,NieR:Automata,尼尔机械纪元,虐女,,
179,Momodora: Reverie Under the Moonlight,莫莫多拉：月下遐想,能攻击胸部,,
180,Eastward,风来之国,boss倒下有乳摇剧情,,
181,DolocTown,多洛可小镇,官方只要兄弟支持,,
182,OMORI,大森,男童罪犯自我脱罪的yy游戏,,
183,Tchia,奇娅,救了弟弟后被抢王位,,
184,inbento,内饭盒,太子妈的爱心便当,,
185,Volcano Princess,火山的女儿,存在性工作者结局，以及老登夺舍女角色剧情,,
186,Touhou Mystia's Izakaya,东方夜雀食堂,像素小人画出乳沟 ,"https://www.douban.com/group/topic/266827700/?_spm_id=ODI3Njc3NDY&dt_dapp=1&dt_platform=wechat_friends&_i=1634368Eju_UF1,16343746OcEnNw",
187,monster  prom,魔物学园全系列,存在恶心成就,,
188,Ratopia,鼠托邦,主要由韩男制作，制作组指责女性玩家对于翻译的不满是挑事。明明是女性王朝游戏后续却更新越来越多的男性剧情。甚至更新了男性领导人主控。,"https://www.douban.com/group/topic/330676898/?_spm_id=Mjc1MDI0MDA5&_i=2130624-pjiHIz,2199837Rl4axPF",
189,The House in Fata Morgana,海市蜃楼之馆,日厂+伪女主实则杰克苏侉子男主（厌恶女身崇拜屌）+贬低女性奋斗意义+从头到尾的虐女+男人背后的女人+爆衣立绘,,
190,Cotton Game,胖布丁工作室、翻车鱼工作室旗下所有游戏 ,代表作《落日山丘》《迷失岛》 ，纵容员工xsr女员工还PUA,https://www.douban.com/group/topic/327312236/?_spm_id=Mjg4NzkzMDIz&_i=16226302WOdhIi,
,,,,,
192,grindstone,勇闯宝石山,有跨性别帽子，女性印象很刻板，而男反派曾经是“阉雄”，甚至结尾还被男主救赎,gbtq的消消乐游戏,
193,pentiment,隐迹渐现,前两章是男主控，有男同亲嘴，并且有亲吻修女环节。宗教味道比较浓，男主因为事业需要结昏，特别讨厌自己的妻子。第三章是女主，身边存在大量劝昏以及让她放弃事业的言论，以及很多人撮合她与另一个男性。虽然有拒绝选项但总体观感差。,,
194,VA-11 Hall-A,赛博酒保行动,有幼女形态性爱机器人，魔女组打分为-60,,
195,coffe talk,咖啡心语,封面上的绿发女性是作者，她的一篇文章是“人和猫狗舌吻”。疑似暗示主角为男，一个外星人疯狂找女性求爱，但从来没骚扰过主角,,
196,Sizeable,变大变小,有一关叫“长发公主”，高塔里从里到外垂下长长的头发，顺着解谜步骤切断头发会有莫名其妙的凄厉女性尖叫；高跟鞋解谜；全男制作组,,
197,pentiment,隐迹渐现,有男同亲嘴情节，还有成就色诱zedena 与修女亲嘴。,,
198,two point hospital,双点医院,裸男病,,
199,100 Capitalist Cats,100 只资本家猫,成就里猫全是him,,
200,usual June ,一般朱诺,再管女角色叫dude就把你阉了,,
201,RECORD_DrowsyVortex,谧漩星记录,【魔女组打分：28】,https://www.douban.com/group/topic/321278455/,
202,House of Rules,规则之家,【魔女组打分：27】,https://www.douban.com/group/topic/316825951/,
203,Sayonara Wild Hearts,再见狂野之心,【魔女组打分：23】另有一批评帖,https://www.douban.com/group/topic/313734436/,
